League,Home_Team,Away_Team,Score
1.BL,VfB Stuttgart,FC Augsburg,4:0
1.BL,FC St. Pauli,VfB Stuttgart,0:1
1.BL,VfB Stuttgart,1. FC Heidenheim 1846,0:1
1.BL,1. FC Union Berlin,VfB Stuttgart,4:4
1.BL,VfB Stuttgart,Werder Bremen,1:2
1.BL,VfL Bochum,VfB Stuttgart,0:4
DFB,VfB Stuttgart,RB Leipzig,3:1
1.BL,Eintracht Frankfurt,VfB Stuttgart,1:0
