database_id,head_sha,head_branch,event,conclusion,created_at,started_at,updated_at,duration_seconds,title,url
33390336423,22a0c6d5bba812e469885d784c4578cea96ad925,main,push,failure,2026-08-31T12:09:17Z,2026-08-31T12:09:17Z,2026-08-31T12:12:22Z,185,test: cover ordinary Bundesliga recovery persistence,https://github.com/ehonda/KicktippAi/actions/runs/33390336423
33393738486,d47c1b2b8f47b2755d9c382c46b830876efccbaf,main,push,success,2026-08-31T12:50:05Z,2026-08-31T12:50:05Z,2026-08-31T12:54:26Z,261,test: isolate standings reuse telemetry activity,https://github.com/ehonda/KicktippAi/actions/runs/33393738486
33402077025,efe3ea0906568aefb505f94ab20f016f64810f0a,codex/01a054ee-p1-10-full,pull_request,success,2026-08-31T14:20:44Z,2026-08-31T14:20:44Z,2026-08-31T14:24:27Z,223,P1-10: complete Schadensfresse target-primary routing,https://github.com/ehonda/KicktippAi/actions/runs/33402077025
33419064689,d0578a157693667f9d61bab7334c36d4432c69c3,codex/01a054ee-p1-10-full,pull_request,success,2026-08-31T17:20:54Z,2026-08-31T17:20:54Z,2026-08-31T17:24:45Z,231,P1-10: complete Schadensfresse target-primary routing,https://github.com/ehonda/KicktippAi/actions/runs/33419064689
33432401583,5891d480ed1ac117c955a29b02dd940fd2d6187f,codex/01a054ee-p1-10-full,pull_request,success,2026-08-31T19:46:32Z,2026-08-31T19:46:32Z,2026-08-31T19:50:13Z,221,P1-10: complete Schadensfresse target-primary routing,https://github.com/ehonda/KicktippAi/actions/runs/33432401583
