sha,short_sha,authored_at,committed_at,author,subject
5fa3d511ed9e6a08ccd90d92a7ad02631a1de1c1,5fa3d51,2026-09-06T10:38:05+02:00,2026-09-06T10:38:05+02:00,Dennis Renz,docs: freeze context source refresh seam
1e1e624ffd9839145db48106528a6f7e3b10b4a0,1e1e624,2026-09-06T10:52:52+02:00,2026-09-06T10:52:52+02:00,Dennis Renz,docs: complete context refresh contract
c99e1635428bcfea48271e4169767b38f014148c,c99e163,2026-09-06T11:16:07+02:00,2026-09-06T11:16:07+02:00,Dennis Renz,docs: finish durable context refresh specification
